Time,Player,Team,Ball_Y,Nearest_Teammate,Nearest_Opponent,Is_Last_Man,Possession_Kept
11.33,Ulttor,Orange,0.0,1654.86,427.98,0,0
11.33,Krzh :),Blue,0.0,1662.63,427.98,0,1
12.73,Taha (RLCS PRO BLUE TAG),Blue,-513.73,1171.76,1109.53,1,1
14.26,Taha (RLCS PRO BLUE TAG),Blue,190.85,2700.94,89.74,0,1
15.93,Taha (RLCS PRO BLUE TAG),Blue,-218.8,4523.27,2527.89,0,1
18.16,Taha (RLCS PRO BLUE TAG),Blue,521.24,2119.68,448.85,0,0
18.26,Ulttor,Orange,643.69,2961.35,214.33,0,1
21.12,Ulttor,Orange,1874.26,3931.9,3174.77,1,1
23.49,Ulttor,Orange,-1067.83,2035.2,1523.96,0,0
24.39,Krzh :),Blue,-2453.54,2003.85,419.74,0,0
24.42,Ulttor,Orange,-2507.22,1180.15,276.98,0,1
25.49,Demetree.,Orange,-2032.69,2539.56,1056.03,1,1
26.69,Demetree.,Orange,-2519.48,5157.12,1851.14,1,0
27.32,Taha (RLCS PRO BLUE TAG),Blue,-2751.38,2964.59,379.55,0,0
29.69,Demetree.,Orange,-3724.32,5198.22,993.29,0,1
33.22,Demetree.,Orange,-4439.65,2444.3,1061.53,0,1
34.76,Demetree.,Orange,-4531.13,1985.05,540.62,0,0
35.12,Krzh :),Blue,-4551.21,233.6,396.43,0,0
37.79,Ulttor,Orange,-840.29,222.36,301.38,1,1
40.75,Ulttor,Orange,4942.98,4413.72,238.77,1,0
40.79,Krzh :),Blue,4941.8,5539.88,150.54,0,1
43.29,Taha (RLCS PRO BLUE TAG),Blue,3685.34,860.42,919.34,1,0
43.45,Ulttor,Orange,3815.36,4131.49,244.62,1,0
48.09,Krzh :),Blue,-4140.73,2990.4,835.59,1,1
49.25,Krzh :),Blue,-3796.88,2509.12,546.03,0,0
49.45,Ulttor,Orange,-3711.43,3119.93,135.49,0,1
51.78,Demetree.,Orange,-2450.49,1788.51,2304.57,1,0
52.72,Taha (RLCS PRO BLUE TAG),Blue,-4854.61,2115.98,2174.7,1,0
55.72,Ulttor,Orange,-3132.72,8035.25,222.11,0,0
55.82,Krzh :),Blue,-3075.68,2426.19,98.99,0,1
58.25,Taha (RLCS PRO BLUE TAG),Blue,-2676.72,709.26,765.49,1,0
60.85,Ulttor,Orange,534.01,2446.01,2591.56,0,0
62.72,Taha (RLCS PRO BLUE TAG),Blue,-432.46,1925.86,2197.9,0,1
65.35,Krzh :),Blue,-1221.98,2904.16,2942.88,0,0
68.18,Demetree.,Orange,888.49,2407.8,1665.83,0,0
70.52,Taha (RLCS PRO BLUE TAG),Blue,381.37,4785.76,1214.08,0,1
73.32,Taha (RLCS PRO BLUE TAG),Blue,3899.94,3351.38,1487.0,0,1
78.31,Krzh :),Blue,1408.69,1241.1,695.86,0,0
78.51,Demetree.,Orange,1373.68,1831.55,304.81,0,0
80.41,Krzh :),Blue,296.48,3509.2,293.39,0,0
80.58,Ulttor,Orange,262.1,362.76,108.75,1,0
83.05,Taha (RLCS PRO BLUE TAG),Blue,251.45,2947.34,2336.74,0,1
84.21,Taha (RLCS PRO BLUE TAG),Blue,2092.98,3532.55,1430.91,0,0
85.05,Demetree.,Orange,3771.62,3163.34,265.45,1,1
86.41,Ulttor,Orange,3659.12,1184.77,1655.53,0,0
89.68,Krzh :),Blue,549.4,1138.53,1048.01,0,0
92.48,Ulttor,Orange,3425.68,2377.34,577.18,1,1
93.58,Demetree.,Orange,1865.76,1228.15,2480.62,0,1
96.38,Ulttor,Orange,-541.49,2109.78,1570.58,0,0
100.38,Taha (RLCS PRO BLUE TAG),Blue,-2681.65,1721.51,2887.39,0,0
101.24,Demetree.,Orange,-1233.18,2885.54,670.33,0,1
104.38,Demetree.,Orange,-3097.68,4493.97,1743.08,0,1
106.74,Ulttor,Orange,-3941.88,2236.68,537.93,1,0
106.84,Krzh :),Blue,-4161.36,888.83,393.91,1,1
116.99,Krzh :),Blue,0.0,1429.05,555.0,0,0
117.02,Ulttor,Orange,0.0,1236.9,369.06,0,0
117.89,Taha (RLCS PRO BLUE TAG),Blue,40.55,134.09,384.77,0,0
117.95,Demetree.,Orange,87.35,132.15,445.34,0,0
122.89,Taha (RLCS PRO BLUE TAG),Blue,2187.94,4367.62,292.18,0,0
123.09,Demetree.,Orange,2252.55,3181.32,446.13,0,0
124.75,Taha (RLCS PRO BLUE TAG),Blue,2910.43,2734.83,909.11,0,0
125.52,Ulttor,Orange,4643.46,1627.83,712.53,1,1
129.62,Ulttor,Orange,-3768.1,3859.35,663.69,0,0
129.88,Krzh :),Blue,-4169.54,4727.8,179.38,1,1
131.52,Krzh :),Blue,-3522.96,2987.25,794.18,0,0
134.35,Ulttor,Orange,597.02,842.58,1290.27,0,0
136.38,Taha (RLCS PRO BLUE TAG),Blue,-978.72,2539.65,1533.7,1,0
138.72,Demetree.,Orange,-187.3,476.86,310.24,0,1
141.95,Demetree.,Orange,-4555.43,2308.36,1050.92,0,0
143.18,Taha (RLCS PRO BLUE TAG),Blue,-4987.28,828.81,397.56,1,1
145.38,Krzh :),Blue,-2938.23,1274.73,859.34,0,0
145.65,Ulttor,Orange,-2528.29,3907.65,255.22,0,1
149.01,Ulttor,Orange,4040.51,3227.7,293.18,1,1
151.58,Demetree.,Orange,4657.41,1841.91,673.23,0,1
153.84,Demetree.,Orange,1856.39,626.56,2516.26,0,1
153.98,Ulttor,Orange,1672.36,306.6,2857.8,1,0
155.31,Taha (RLCS PRO BLUE TAG),Blue,-2731.1,1533.01,1861.4,0,1
167.04,Krzh :),Blue,0.0,1601.16,504.82,0,0
167.08,Ulttor,Orange,47.45,1149.09,393.63,0,1
168.78,Demetree.,Orange,443.39,764.07,468.22,0,1
170.31,Demetree.,Orange,630.44,2012.24,541.06,0,0
171.14,Taha (RLCS PRO BLUE TAG),Blue,-123.85,857.78,696.25,0,0
172.04,Demetree.,Orange,-848.85,3619.79,222.22,0,1
173.87,Demetree.,Orange,-3769.28,1602.42,1385.91,0,0
174.27,Krzh :),Blue,-4536.88,829.92,458.86,0,1
176.37,Krzh :),Blue,-3304.46,3152.75,1120.75,0,0
178.37,Ulttor,Orange,-144.18,4290.5,510.3,0,0
180.21,Taha (RLCS PRO BLUE TAG),Blue,-1609.3,1395.79,647.1,1,0
180.27,Ulttor,Orange,-1543.12,3013.61,369.36,0,0
182.11,Taha (RLCS PRO BLUE TAG),Blue,-1098.5,1007.77,1883.31,1,1
183.54,Taha (RLCS PRO BLUE TAG),Blue,570.45,964.95,1420.85,0,1
184.57,Taha (RLCS PRO BLUE TAG),Blue,2408.01,530.04,1266.34,0,1
195.85,Krzh :),Blue,0.0,1542.91,454.56,0,0
195.88,Ulttor,Orange,22.88,1250.11,399.17,0,0
197.28,Taha (RLCS PRO BLUE TAG),Blue,98.47,754.12,709.38,0,1
199.92,Taha (RLCS PRO BLUE TAG),Blue,1885.09,1718.84,3166.73,0,1
201.32,Taha (RLCS PRO BLUE TAG),Blue,2360.44,2098.44,2866.06,0,0
203.05,Demetree.,Orange,3467.36,2804.3,532.35,0,0
203.22,Taha (RLCS PRO BLUE TAG),Blue,3347.37,1795.97,258.86,0,1
208.21,Taha (RLCS PRO BLUE TAG),Blue,128.19,443.44,846.41,0,1
209.58,Krzh :),Blue,-374.15,817.51,868.67,0,1
211.38,Krzh :),Blue,3220.82,1676.66,445.2,0,0
211.58,Demetree.,Orange,3591.57,1185.73,475.57,1,0
213.18,Taha (RLCS PRO BLUE TAG),Blue,2971.09,500.1,796.55,0,0
213.71,Demetree.,Orange,4153.89,1581.46,407.7,1,1
215.48,Ulttor,Orange,2623.56,967.02,606.6,0,1
218.58,Ulttor,Orange,-1596.93,827.51,1307.07,0,1
220.11,Ulttor,Orange,-4636.48,1188.27,1760.32,0,0
221.31,Taha (RLCS PRO BLUE TAG),Blue,-4197.03,1443.53,752.26,1,0
221.68,Demetree.,Orange,-3905.16,1559.08,836.9,0,1
236.2,Demetree.,Orange,-47.66,1334.59,509.61,0,0
236.24,Taha (RLCS PRO BLUE TAG),Blue,-203.47,1580.7,509.61,0,0
237.8,Demetree.,Orange,-4933.69,1804.44,2128.51,0,1
256.0,Ulttor,Orange,0.0,1204.99,335.96,0,0
256.0,Krzh :),Blue,0.0,309.26,488.36,0,1
257.3,Taha (RLCS PRO BLUE TAG),Blue,411.04,518.59,795.92,0,1
258.57,Krzh :),Blue,2683.13,482.78,1289.21,0,1
258.87,Taha (RLCS PRO BLUE TAG),Blue,3188.05,404.25,1300.67,0,0
259.47,Demetree.,Orange,4110.65,1516.82,665.15,1,0
263.23,Krzh :),Blue,1549.88,514.75,1417.3,0,0
264.0,Demetree.,Orange,2711.44,971.63,844.63,0,1
264.33,Ulttor,Orange,3212.17,674.63,839.67,0,1
266.1,Ulttor,Orange,1218.72,1767.14,603.14,0,1
267.2,Ulttor,Orange,-522.06,1329.14,1086.53,0,0
268.33,Taha (RLCS PRO BLUE TAG),Blue,-2651.96,2683.66,233.57,1,1
270.37,Taha (RLCS PRO BLUE TAG),Blue,-4870.9,3394.18,517.24,1,1
271.23,Taha (RLCS PRO BLUE TAG),Blue,-4764.02,3363.51,686.52,0,0
271.47,Demetree.,Orange,-4472.11,348.81,470.98,0,0
272.2,Taha (RLCS PRO BLUE TAG),Blue,-3735.62,3048.31,470.46,0,0
274.26,Ulttor,Orange,-158.79,831.13,387.64,0,1
276.16,Ulttor,Orange,-3581.22,1044.31,1109.16,0,1
278.83,Ulttor,Orange,-3336.89,1270.61,425.16,0,0
279.2,Krzh :),Blue,-3037.21,210.68,636.32,0,1
280.43,Taha (RLCS PRO BLUE TAG),Blue,-1878.25,514.88,1960.94,0,0
282.93,Demetree.,Orange,241.32,2349.1,377.8,0,0
284.23,Taha (RLCS PRO BLUE TAG),Blue,320.2,124.36,236.86,0,1
285.56,Taha (RLCS PRO BLUE TAG),Blue,327.4,906.29,1184.56,0,1
289.46,Taha (RLCS PRO BLUE TAG),Blue,2529.53,386.48,1281.73,0,1
290.69,Taha (RLCS PRO BLUE TAG),Blue,3657.23,896.02,1027.71,0,1
292.73,Taha (RLCS PRO BLUE TAG),Blue,5101.41,501.69,953.4,0,1
303.13,Krzh :),Blue,0.0,281.32,446.68,0,0
303.16,Ulttor,Orange,37.93,1104.75,368.8,0,0
304.53,Krzh :),Blue,467.11,888.78,242.33,0,0
304.7,Demetree.,Orange,522.79,447.78,94.85,0,0
