Time,Player,Team,Ball_Y,Nearest_Teammate,Nearest_Opponent,Is_Last_Man,Boost_Amount,Player_Speed,Player_VY,Player_Y,Possession_Kept
11.33,Ulttor,Orange,0.0,1654.86,427.98,0,33.0,2277.0,-2276.8,204.8,0
11.33,Krzh :),Blue,0.0,1662.63,427.98,0,33.0,2282.4,2124.7,-215.0,1
12.73,Taha (RLCS PRO BLUE TAG),Blue,-513.73,1171.76,1109.53,1,33.0,2279.7,-10.7,-620.5,1
14.26,Taha (RLCS PRO BLUE TAG),Blue,190.85,2700.94,89.74,0,33.0,152.4,152.4,333.0,1
15.93,Taha (RLCS PRO BLUE TAG),Blue,-218.8,4523.27,2527.89,0,33.0,920.0,-340.4,-248.8,1
18.16,Taha (RLCS PRO BLUE TAG),Blue,521.24,2119.68,448.85,0,33.0,1909.7,1868.7,361.3,0
18.26,Ulttor,Orange,643.69,2961.35,214.33,0,33.0,1564.4,42.4,691.2,1
21.12,Ulttor,Orange,1874.26,3931.9,3174.77,1,33.0,707.4,-571.9,2041.2,1
23.49,Ulttor,Orange,-1067.83,2035.2,1523.96,0,33.0,1895.4,-1458.2,-932.3,0
24.39,Krzh :),Blue,-2453.54,2003.85,419.74,0,33.0,483.3,-191.3,-2638.3,0
24.42,Ulttor,Orange,-2507.22,1180.15,276.98,0,33.0,2032.2,-1608.8,-2370.9,1
25.49,Demetree.,Orange,-2032.69,2539.56,1056.03,1,33.0,733.2,-329.4,-1910.5,1
26.69,Demetree.,Orange,-2519.48,5157.12,1851.14,1,33.0,1259.1,-787.7,-2336.0,0
27.32,Taha (RLCS PRO BLUE TAG),Blue,-2751.38,2964.59,379.55,0,33.0,2296.8,1761.5,-2896.5,0
29.69,Demetree.,Orange,-3724.32,5198.22,993.29,0,33.0,784.3,-783.5,-3632.4,1
33.22,Demetree.,Orange,-4439.65,2444.3,1061.53,0,33.0,524.8,-47.8,-4333.8,1
34.76,Demetree.,Orange,-4531.13,1985.05,540.62,0,33.0,684.8,-46.4,-4419.1,0
35.12,Krzh :),Blue,-4551.21,233.6,396.43,0,33.0,483.6,353.4,-4733.7,0
37.79,Ulttor,Orange,-840.29,222.36,301.38,1,33.0,2291.0,2164.3,-1048.5,1
40.75,Ulttor,Orange,4942.98,4413.72,238.77,1,33.0,730.5,216.1,5033.0,0
40.79,Krzh :),Blue,4941.8,5539.88,150.54,0,33.0,1128.8,583.7,4958.4,1
